generation,total,coop_ratio,defect_ratio,police_ratio
0,100,0.9,0.1,0.0
1,106,0.8490566037735849,0.1509433962264151,0.0
2,180,0.8555555555555555,0.14444444444444443,0.0
3,211,0.8246445497630331,0.17535545023696683,0.0
4,226,0.7699115044247787,0.23008849557522124,0.0
5,333,0.7507507507507507,0.24924924924924924,0.0
6,419,0.7255369928400954,0.2744630071599045,0.0
7,475,0.6757894736842105,0.32421052631578945,0.0
8,500,0.644,0.356,0.0
9,500,0.598,0.402,0.0
10,500,0.552,0.448,0.0
11,500,0.502,0.498,0.0
12,500,0.452,0.548,0.0
13,500,0.398,0.602,0.0
14,500,0.366,0.634,0.0
15,500,0.356,0.644,0.0
16,500,0.326,0.674,0.0
17,500,0.302,0.698,0.0
18,500,0.272,0.728,0.0
19,500,0.252,0.748,0.0
20,500,0.228,0.772,0.0
21,500,0.198,0.802,0.0
22,500,0.176,0.824,0.0
23,500,0.16,0.84,0.0
24,500,0.148,0.852,0.0
25,500,0.126,0.874,0.0
26,500,0.114,0.886,0.0
27,500,0.094,0.906,0.0
28,500,0.074,0.926,0.0
29,500,0.052,0.948,0.0
30,500,0.022,0.978,0.0
31,499,0.01603206412825651,0.9839679358717435,0.0
32,499,0.01002004008016032,0.9899799599198397,0.0
33,500,0.006,0.994,0.0
34,500,0.006,0.994,0.0
35,500,0.004,0.996,0.0
36,499,0.0,1.0,0.0
37,499,0.0,1.0,0.0
38,499,0.0,1.0,0.0
39,499,0.0,1.0,0.0
40,499,0.0,1.0,0.0
41,499,0.0,1.0,0.0
42,499,0.0,1.0,0.0
43,499,0.0,1.0,0.0
44,499,0.0,1.0,0.0
45,499,0.0,1.0,0.0
46,499,0.0,1.0,0.0
47,499,0.0,1.0,0.0
48,499,0.0,1.0,0.0
49,499,0.0,1.0,0.0
50,499,0.0,1.0,0.0
51,499,0.0,1.0,0.0
52,499,0.0,1.0,0.0
53,499,0.0,1.0,0.0
54,499,0.0,1.0,0.0
55,499,0.0,1.0,0.0
56,499,0.0,1.0,0.0
57,499,0.0,1.0,0.0
58,499,0.0,1.0,0.0
59,499,0.0,1.0,0.0
60,499,0.0,1.0,0.0
61,499,0.0,1.0,0.0
62,499,0.0,1.0,0.0
63,499,0.0,1.0,0.0
64,499,0.0,1.0,0.0
65,499,0.0,1.0,0.0
66,499,0.0,1.0,0.0
67,499,0.0,1.0,0.0
68,499,0.0,1.0,0.0
69,499,0.0,1.0,0.0
70,499,0.0,1.0,0.0
71,499,0.0,1.0,0.0
72,499,0.0,1.0,0.0
73,499,0.0,1.0,0.0
74,499,0.0,1.0,0.0
75,499,0.0,1.0,0.0
76,499,0.0,1.0,0.0
77,499,0.0,1.0,0.0
78,499,0.0,1.0,0.0
79,499,0.0,1.0,0.0
80,499,0.0,1.0,0.0
81,499,0.0,1.0,0.0
82,499,0.0,1.0,0.0
83,499,0.0,1.0,0.0
84,499,0.0,1.0,0.0
85,499,0.0,1.0,0.0
86,499,0.0,1.0,0.0
87,499,0.0,1.0,0.0
88,499,0.0,1.0,0.0
89,499,0.0,1.0,0.0
90,499,0.0,1.0,0.0
91,499,0.0,1.0,0.0
92,499,0.0,1.0,0.0
93,499,0.0,1.0,0.0
94,499,0.0,1.0,0.0
95,499,0.0,1.0,0.0
96,499,0.0,1.0,0.0
97,499,0.0,1.0,0.0
98,499,0.0,1.0,0.0
99,499,0.0,1.0,0.0
