generation,total,coop_ratio,defect_ratio,police_ratio
0,100,0.0,0.1,0.9
1,100,0.0,0.1,0.9
2,167,0.0,0.059880239520958084,0.9401197604790419
3,167,0.0,0.059880239520958084,0.9401197604790419
4,184,0.0,0.05434782608695652,0.9456521739130435
5,299,0.0,0.033444816053511704,0.9665551839464883
6,323,0.0,0.030959752321981424,0.9690402476780186
7,353,0.0,0.028328611898016998,0.9716713881019831
8,500,0.0,0.018,0.982
9,500,0.0,0.018,0.982
10,500,0.0,0.014,0.986
11,500,0.0,0.008,0.992
12,500,0.0,0.006,0.994
13,500,0.0,0.006,0.994
14,500,0.0,0.006,0.994
15,500,0.0,0.006,0.994
16,500,0.0,0.006,0.994
17,500,0.0,0.004,0.996
18,500,0.0,0.004,0.996
19,500,0.0,0.004,0.996
20,500,0.0,0.004,0.996
21,500,0.0,0.004,0.996
22,500,0.0,0.004,0.996
23,500,0.0,0.004,0.996
24,500,0.0,0.004,0.996
25,500,0.0,0.004,0.996
26,500,0.0,0.004,0.996
27,500,0.0,0.002,0.998
28,500,0.0,0.002,0.998
29,500,0.0,0.002,0.998
30,500,0.0,0.002,0.998
31,500,0.0,0.002,0.998
32,500,0.0,0.002,0.998
33,500,0.0,0.002,0.998
34,500,0.0,0.002,0.998
35,500,0.0,0.0,1.0
36,500,0.0,0.0,1.0
37,500,0.0,0.0,1.0
38,500,0.0,0.0,1.0
39,500,0.0,0.0,1.0
40,500,0.0,0.0,1.0
41,500,0.0,0.0,1.0
42,500,0.0,0.0,1.0
43,500,0.0,0.0,1.0
44,500,0.0,0.0,1.0
45,500,0.0,0.0,1.0
46,500,0.0,0.0,1.0
47,500,0.0,0.0,1.0
48,500,0.0,0.0,1.0
49,500,0.0,0.0,1.0
50,500,0.0,0.0,1.0
51,500,0.0,0.0,1.0
52,500,0.0,0.0,1.0
53,500,0.0,0.0,1.0
54,500,0.0,0.0,1.0
55,500,0.0,0.0,1.0
56,500,0.0,0.0,1.0
57,500,0.0,0.0,1.0
58,500,0.0,0.0,1.0
59,500,0.0,0.0,1.0
60,500,0.0,0.0,1.0
61,500,0.0,0.0,1.0
62,500,0.0,0.0,1.0
63,500,0.0,0.0,1.0
64,500,0.0,0.0,1.0
65,500,0.0,0.0,1.0
66,500,0.0,0.0,1.0
67,500,0.0,0.0,1.0
68,500,0.0,0.0,1.0
69,500,0.0,0.0,1.0
70,500,0.0,0.0,1.0
71,500,0.0,0.0,1.0
72,500,0.0,0.0,1.0
73,500,0.0,0.0,1.0
74,500,0.0,0.0,1.0
75,500,0.0,0.0,1.0
76,500,0.0,0.0,1.0
77,500,0.0,0.0,1.0
78,500,0.0,0.0,1.0
79,500,0.0,0.0,1.0
80,500,0.0,0.0,1.0
81,500,0.0,0.0,1.0
82,500,0.0,0.0,1.0
83,500,0.0,0.0,1.0
84,500,0.0,0.0,1.0
85,500,0.0,0.0,1.0
86,500,0.0,0.0,1.0
87,500,0.0,0.0,1.0
88,500,0.0,0.0,1.0
89,500,0.0,0.0,1.0
90,500,0.0,0.0,1.0
91,500,0.0,0.0,1.0
92,500,0.0,0.0,1.0
93,500,0.0,0.0,1.0
94,500,0.0,0.0,1.0
95,500,0.0,0.0,1.0
96,500,0.0,0.0,1.0
97,500,0.0,0.0,1.0
98,500,0.0,0.0,1.0
99,500,0.0,0.0,1.0
