task,run,model,rmse,time,soft_wall_index,metadata
linear,0,Standard GP,0.13235594568306772,0.1324141025543213,0.0,"{'formula': '(((cos(hypot(x, -5.25)) + x) - cos(cos((x - x)))) + (x - -2.70))'}"
linear,0,Huber Regression,0.07166085515726625,0.0054051876068115234,0.0,"{'outliers': array([False, False, False, False,  True, False, False,  True, False,         True, False, False, False, False,  True,  True,  True, False,        False,  True, False, False,  True,  True, False,  True, False,         True, False, False, False,  True, False,  True,  True, False,        False, False, False,  True])}"
linear,0,Gaussian Process,0.5118017626167338,0.6515634059906006,0.19433050523773557,"{'uncertainty': array([0.11197661, 0.12883374, 0.13918654, 0.15201391, 0.17378384,        0.20825493, 0.24654644, 0.24847267, 0.26470512, 0.26953125])}"
linear,0,Epistemic Director,0.07088095407767551,20.660517692565918,0.0,{'formula': '((x + 3.00) + x)'}
linear,1,Standard GP,0.10132214838096461,0.14882183074951172,0.0,{'formula': '(3.10 + (x + x))'}
linear,1,Huber Regression,0.0912279692672464,0.003996849060058594,0.0,"{'outliers': array([False,  True,  True, False, False,  True, False, False, False,         True, False, False, False, False,  True, False, False,  True,         True, False,  True, False, False, False, False, False, False,        False, False, False,  True, False, False, False, False, False,        False, False,  True, False])}"
linear,1,Gaussian Process,0.06311486962731763,0.6206822395324707,0.12372984118639563,"{'uncertainty': array([0.1167806 , 0.11933845, 0.11937156, 0.12050485, 0.12065714,        0.12567929, 0.12587116, 0.12823411, 0.12923072, 0.13163054])}"
linear,1,Epistemic Director,0.3814470485868517,21.319122791290283,0.0,{'formula': '((x - -2.92) + (x * 1.11))'}
linear,2,Standard GP,0.11857710959064414,0.1314847469329834,0.0,{'formula': '(x + (3.02 + x))'}
linear,2,Huber Regression,0.12167821028910682,0.0037221908569335938,0.0,"{'outliers': array([False,  True, False, False, False,  True, False,  True, False,        False, False, False,  True,  True,  True,  True, False, False,        False, False,  True, False, False, False,  True, False, False,        False, False,  True, False, False,  True, False, False, False,         True, False, False,  True])}"
linear,2,Gaussian Process,0.18993199390553184,0.9070181846618652,0.15103520409948273,"{'uncertainty': array([0.11368368, 0.11838476, 0.1221356 , 0.12221234, 0.12261356,        0.15503286, 0.16715724, 0.18164688, 0.18499685, 0.22248828])}"
linear,2,Epistemic Director,1.5007101177306894,0.9126486778259277,0.0,{'formula': '((1.44 + x) - (((x - x) * (x - x)) - x))'}
linear,3,Standard GP,0.161531677612928,0.15151071548461914,0.0,{'formula': '(x + (2.88 + x))'}
linear,3,Huber Regression,0.11451006832385295,0.004842996597290039,0.0,"{'outliers': array([False, False,  True,  True, False, False, False, False,  True,        False,  True,  True, False,  True, False,  True, False, False,         True,  True, False, False, False,  True, False,  True, False,        False, False, False,  True, False,  True, False,  True,  True,        False,  True,  True, False])}"
linear,3,Gaussian Process,0.14696476027269717,0.8055830001831055,0.1333914992009358,"{'uncertainty': array([0.10533717, 0.10694532, 0.10971916, 0.11504304, 0.1151366 ,        0.1254199 , 0.13994995, 0.16670815, 0.17431272, 0.17534298])}"
linear,3,Epistemic Director,1.5441134958206217,21.38799548149109,0.0,{'formula': '((1.79 + x) - (-0.92 * x))'}
linear,4,Standard GP,0.22259965386177055,0.09646058082580566,0.0,{'formula': '(x + (2.76 + (abs(tanh(x)) * x)))'}
linear,4,Huber Regression,0.09678657913151775,0.004868507385253906,0.0,"{'outliers': array([ True, False, False, False,  True, False, False, False, False,        False,  True, False, False,  True, False,  True,  True,  True,         True, False, False, False,  True,  True, False,  True,  True,         True,  True, False, False, False, False, False, False, False,        False, False, False,  True])}"
linear,4,Gaussian Process,0.08518192559723663,1.1145901679992676,0.14570609490592107,"{'uncertainty': array([0.12351872, 0.12581138, 0.13553291, 0.136394  , 0.1450812 ,        0.14626614, 0.15243577, 0.15970491, 0.16435508, 0.16796084])}"
linear,4,Epistemic Director,0.0904927941321429,0.714165449142456,0.0,{'formula': '(x + (x + 3.00))'}
linear,5,Standard GP,0.08517058651718998,0.12382221221923828,0.0,{'formula': '((2.98 + x) + x)'}
linear,5,Huber Regression,0.08712903389498657,0.00440669059753418,0.0,"{'outliers': array([ True, False, False, False, False, False, False, False,  True,         True,  True, False, False, False, False, False,  True,  True,        False, False, False, False,  True, False,  True,  True, False,         True, False, False, False, False, False,  True,  True,  True,         True, False, False,  True])}"
linear,5,Gaussian Process,0.06441906079583605,0.9985692501068115,0.15765508733827355,"{'uncertainty': array([0.12851175, 0.13485713, 0.14500457, 0.15108567, 0.1598038 ,        0.16507583, 0.16723434, 0.17111441, 0.17594863, 0.17791475])}"
linear,5,Epistemic Director,2.0202880854069902,21.662789344787598,0.0,{'formula': '(((x * 0.51) + 3.01) + x)'}
linear,6,Standard GP,0.30402220571324007,0.1331803798675537,0.0,{'formula': '((x - -2.40) + (0.88 + x))'}
linear,6,Huber Regression,0.06297057042415252,0.004049062728881836,0.0,"{'outliers': array([False, False, False, False, False, False, False, False, False,         True, False,  True, False,  True,  True,  True,  True,  True,        False,  True,  True, False, False, False, False, False, False,        False, False, False, False, False, False,  True, False, False,        False, False, False, False])}"
linear,6,Gaussian Process,0.10784510040226179,0.4434387683868408,0.1346601456792108,"{'uncertainty': array([0.11248585, 0.1181119 , 0.11812685, 0.12101015, 0.12160389,        0.13809494, 0.14578677, 0.15129506, 0.15435995, 0.1657261 ])}"
linear,6,Epistemic Director,0.9996225109828578,0.7316584587097168,0.0,{'formula': '((x + x) + 3.98)'}
linear,7,Standard GP,0.15360627798185003,0.13286948204040527,0.0,"{'formula': '((x + hypot(-3.10, (x - x))) + x)'}"
linear,7,Huber Regression,0.10909961066838572,0.005130767822265625,0.0,"{'outliers': array([False, False,  True,  True, False, False, False,  True,  True,        False, False,  True, False, False, False, False, False, False,        False, False, False,  True, False,  True, False, False, False,         True, False, False,  True, False, False,  True,  True,  True,         True,  True,  True,  True])}"
linear,7,Gaussian Process,0.12884111304478463,0.7951169013977051,0.10509324589000509,"{'uncertainty': array([0.10160771, 0.10171231, 0.1025858 , 0.10295813, 0.10395913,        0.10448323, 0.10595197, 0.10630837, 0.1086749 , 0.11269091])}"
linear,7,Epistemic Director,0.10661482644720292,0.745067834854126,0.0,{'formula': '(((x * cos(6.20)) + 2.99) + x)'}
linear,8,Standard GP,0.13076233404240112,0.12386178970336914,0.0,{'formula': '((x + x) + 2.89)'}
linear,8,Huber Regression,0.19377853023616962,0.0038509368896484375,0.0,"{'outliers': array([ True,  True,  True, False, False, False,  True,  True, False,        False,  True,  True, False, False,  True, False, False, False,        False, False, False,  True, False,  True, False, False,  True,        False, False, False, False, False,  True,  True,  True, False,        False,  True, False,  True])}"
linear,8,Gaussian Process,0.15269214917419127,1.1787614822387695,0.1288981443957558,"{'uncertainty': array([0.1179734 , 0.12224146, 0.12387996, 0.12425407, 0.1262514 ,        0.12678541, 0.12766355, 0.12949778, 0.14057876, 0.14985565])}"
linear,8,Epistemic Director,3.572380766161815,21.14511251449585,0.0,{'formula': '((0.00 + (0.85 * x)) + x)'}
linear,9,Standard GP,0.08215201877649797,0.11272811889648438,0.0,{'formula': '(x + (x - -2.98))'}
linear,9,Huber Regression,0.08270575857407785,0.003950595855712891,0.0,"{'outliers': array([False, False, False,  True, False, False, False, False,  True,         True, False,  True, False,  True, False,  True, False, False,         True, False, False, False,  True, False, False,  True, False,        False,  True, False,  True,  True, False,  True, False,  True,         True, False, False, False])}"
linear,9,Gaussian Process,0.08060295208139397,0.49478721618652344,0.14680790921653458,"{'uncertainty': array([0.12345804, 0.12494939, 0.13151362, 0.14241945, 0.14370824,        0.14841878, 0.15019677, 0.15267673, 0.16917679, 0.18156129])}"
linear,9,Epistemic Director,5.636514649521703,0.706632137298584,0.0,{'formula': '(((x * 1.01) - 2.66) + x)'}
