task,model,rmse,time,soft_wall_index
adversarial,Epistemic Director,1.0354829166040003,7.522295260429383,0.0
adversarial,Gaussian Process,0.9086419839069236,0.6938964128494263,1.0611414172225413
adversarial,Huber Regression,1.0547882781610336,0.00218977928161615,0.0
adversarial,Standard GP,0.9739867911030592,0.11388812065124507,0.0
chaotic,Epistemic Director,0.6572001914974023,7.780283904075622,0.0
chaotic,Gaussian Process,0.726880874787779,1.0671127080917358,0.7066094816293049
chaotic,Huber Regression,0.8330459899769233,0.00307381153106684,0.0
chaotic,Standard GP,0.12039336277563048,0.11760814189910884,0.0
discontinuous,Epistemic Director,0.9931948479668593,0.6664835929870605,0.0
discontinuous,Gaussian Process,0.7252934619935271,1.006098699569702,0.6710723921933969
discontinuous,Huber Regression,0.5859630858793263,0.00267572402954098,0.0
discontinuous,Standard GP,0.08880182934061033,0.16561086177825923,0.0
harmonic,Epistemic Director,1.1236006149678606,6.933175826072693,0.0
harmonic,Gaussian Process,1.0416942193088143,0.9265615940093994,0.7215136284297612
harmonic,Huber Regression,1.644826857865187,0.00219202041625973,0.0
harmonic,Standard GP,1.1315135355103647,0.1154438734054565,0.0
linear,Epistemic Director,1.592306524886855,10.998571038246155,0.0
linear,Gaussian Process,0.15313956875179843,0.801011061668396,0.14213076771502503
linear,Huber Regression,0.1031547185966762,0.004422378540039009,0.0
linear,Standard GP,0.14920999581605537,0.12871539592742914,0.0
